Tiempo_seg,Etapa_Proceso,RPM_Bomba,P1_Entrada_atm,P2_Retentado_atm,P3_Permeado_atm,TMP_atm,Caudal_Perm_Lmin,Caudal_Ret_Lmin,Flux_J_LMH,Flux_Normalizado_J20_LMH,Temp_Agua_C,TDS_Permeado_ppm,Turbidez_Salida_NTU,Resistencia_Total_m1
0.0,INICIO_FILTRACION,30.0,0.140,0.100,0.020,0.100,0.107,0.019,2.92,2.85,21.5,120,0.15,1.26e11
10.0,FILTRACION_ESTABLE,30.0,0.142,0.101,0.020,0.102,0.107,0.019,2.92,2.85,21.5,120,0.15,1.28e11
30.0,FILTRACION_ESTABLE,30.0,0.145,0.103,0.020,0.104,0.106,0.019,2.89,2.82,21.6,122,0.16,1.31e11
60.0,FILTRACION_ESTABLE,30.0,0.150,0.107,0.020,0.109,0.105,0.019,2.86,2.79,21.6,122,0.16,1.37e11
120.0,ENSUCIAMIENTO_TORTA,30.0,0.165,0.118,0.020,0.122,0.102,0.019,2.78,2.71,21.7,125,0.18,1.53e11
180.0,ENSUCIAMIENTO_TORTA,30.0,0.180,0.129,0.020,0.135,0.099,0.019,2.70,2.63,21.8,128,0.19,1.70e11
240.0,ENSUCIAMIENTO_TORTA,30.0,0.210,0.150,0.020,0.160,0.095,0.019,2.59,2.52,21.8,130,0.20,2.02e11
300.0,LIMITE_PREVIO_LAVADO,30.0,0.250,0.179,0.020,0.195,0.090,0.019,2.45,2.39,21.9,132,0.22,2.46e11
310.0,RETROLAVADO_BACKWASH,-30.0,0.020,0.050,0.280,-0.245,-0.096,0.000,-2.62,-2.55,21.9,145,1.20,1.35e11
370.0,POST_RETROLAVADO,30.0,0.144,0.103,0.020,0.104,0.106,0.019,2.89,2.82,21.9,121,0.15,1.30e11
